,index,Iso3,StartDate,EndDate,Area,Item Code,Item,Element,Year,Months Code,Months,Value
0,29,MYS,01/01/2004,31/12/2004,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2004,7021,Annual value,9130
1,30,MYS,01/01/2005,31/12/2005,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2005,7021,Annual value,11080
2,31,MYS,01/01/2006,31/12/2006,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2006,7021,Annual value,17780
3,32,MYS,01/01/2007,31/12/2007,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2007,7021,Annual value,12600
4,33,MYS,01/01/2008,31/12/2008,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2008,7021,Annual value,14650
5,34,MYS,01/01/2009,31/12/2009,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2009,7021,Annual value,17750
6,35,MYS,01/01/2010,31/12/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7021,Annual value,11750
7,36,MYS,01/01/2010,31/01/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7001,January,10150
8,37,MYS,01/02/2010,28/02/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7002,February,10500
9,38,MYS,01/03/2010,31/03/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7003,March,10500
10,39,MYS,01/04/2010,30/04/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7004,April,10700
11,40,MYS,01/05/2010,31/05/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7005,May,11650
12,41,MYS,01/06/2010,30/06/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7006,June,12900
13,42,MYS,01/07/2010,31/07/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7007,July,13000
14,43,MYS,01/08/2010,31/08/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7008,August,12450
15,44,MYS,01/09/2010,30/09/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7009,September,12350
16,45,MYS,01/10/2010,31/10/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7010,October,12850
17,46,MYS,01/11/2010,30/11/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7011,November,12600
18,47,MYS,01/12/2010,31/12/2010,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2010,7012,December,13150
19,48,MYS,01/01/2011,31/12/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7021,Annual value,13950
20,49,MYS,01/01/2011,31/01/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7001,January,13900
21,50,MYS,01/02/2011,28/02/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7002,February,13900
22,51,MYS,01/03/2011,31/03/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7003,March,13900
23,52,MYS,01/04/2011,30/04/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7004,April,13900
24,53,MYS,01/05/2011,31/05/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7005,May,13900
25,54,MYS,01/06/2011,30/06/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7006,June,13900
